customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST64,Male,0,No,Yes,42,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,38.87,2648.03,No
CUST65,Male,0,No,Yes,35,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),109.0,828.21,Yes
CUST66,Male,0,No,No,45,No,No,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),94.36,3666.52,Yes
CUST67,Male,1,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,69.53,3565.28,Yes
CUST68,Female,0,Yes,No,35,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),47.25,7419.65,No
CUST69,Female,0,No,Yes,72,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),36.22,2700.47,No
CUST70,Female,0,No,No,36,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,110.3,747.31,No
CUST71,Male,1,No,Yes,50,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,21.28,2244.45,No
CUST72,Female,0,No,Yes,69,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,78.0,5955.3,No
CUST73,Female,1,No,Yes,24,Yes,Yes,DSL,Yes,No,No,No internet service,No,No,One year,No,Mailed check,64.76,2115.37,No
CUST74,Male,0,No,No,70,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,No,Two year,Yes,Mailed check,21.43,6143.34,Yes
CUST75,Male,0,No,No,32,No,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,42.6,617.33,No
CUST76,Male,0,No,No,48,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No,One year,No,Credit card (automatic),48.47,2927.9,No
CUST77,Male,1,Yes,Yes,66,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),23.96,6686.43,No
CUST78,Female,1,No,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),41.19,6000.71,Yes
CUST79,Female,0,Yes,Yes,72,No,Yes,No,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,34.97,1744.32,Yes
CUST80,Female,0,No,No,53,Yes,No,No,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,55.94,6926.83,Yes
CUST81,Male,0,Yes,Yes,67,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),63.92,3987.63,Yes
CUST82,Male,0,No,Yes,49,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,59.23,5013.28,Yes
CUST83,Female,1,No,Yes,25,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Two year,No,Credit card (automatic),79.78,5698.04,No
CUST84,Female,0,No,Yes,15,Yes,Yes,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,One year,Yes,Mailed check,98.05,7776.91,Yes
CUST85,Female,1,Yes,Yes,12,Yes,No phone service,No,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),23.39,6367.53,Yes
CUST86,Female,0,No,Yes,1,Yes,Yes,No,No,No,Yes,No,No internet service,No,Two year,Yes,Mailed check,101.25,1650.53,Yes
CUST87,Female,0,No,Yes,23,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,Yes,One year,No,Credit card (automatic),71.38,1804.8,No
CUST88,Male,1,Yes,Yes,46,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,No internet service,One year,Yes,Mailed check,84.81,3471.91,Yes
CUST89,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),29.4,6062.15,Yes
CUST90,Female,0,Yes,No,51,No,Yes,No,No internet service,Yes,No,Yes,No,No,Two year,No,Mailed check,111.39,5416.86,No
CUST91,Male,0,No,No,33,No,No,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,89.7,1903.94,Yes
CUST92,Male,1,Yes,Yes,56,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,50.15,848.7,Yes
CUST93,Female,0,No,Yes,68,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,45.89,5174.6,No
CUST94,Male,0,Yes,No,53,No,No phone service,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),59.65,7863.68,Yes
CUST95,Female,0,Yes,Yes,10,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,No internet service,One year,No,Electronic check,51.37,865.13,No
CUST96,Male,1,Yes,Yes,40,No,No phone service,DSL,No,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,70.3,6543.53,No
CUST97,Female,1,Yes,No,41,No,No phone service,No,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),78.83,7515.67,No
CUST98,Male,0,No,No,64,No,No,No,No internet service,No,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),46.67,4088.82,Yes
CUST99,Female,1,Yes,No,45,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,83.29,283.86,No
CUST100,Female,0,Yes,No,6,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,98.15,6092.38,Yes
CUST101,Female,0,Yes,No,47,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,62.93,6950.51,Yes
CUST102,Female,0,Yes,Yes,70,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),70.57,7057.57,No
CUST103,Male,0,Yes,Yes,8,No,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Credit card (automatic),109.14,6446.27,Yes
CUST104,Male,0,No,Yes,9,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,One year,No,Electronic check,57.44,712.83,No
CUST105,Female,0,No,Yes,2,Yes,No,No,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),56.54,3883.05,No
CUST106,Female,0,No,Yes,35,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Electronic check,23.75,5052.43,No
CUST107,Female,0,No,No,53,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,Two year,No,Electronic check,61.19,7823.46,No
CUST108,Female,1,Yes,Yes,48,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,94.77,5025.02,No
CUST109,Female,1,No,No,69,No,No phone service,No,No internet service,No,Yes,No,No,No internet service,One year,Yes,Mailed check,69.31,6835.38,Yes
CUST110,Female,1,No,Yes,8,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),69.09,3446.79,Yes
CUST111,Male,1,No,Yes,31,No,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,52.13,2713.33,Yes
CUST112,Male,1,No,No,4,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,78.77,419.47,No
CUST113,Female,1,No,No,17,No,No,No,No,Yes,No,No,No,Yes,One year,No,Electronic check,56.7,4428.83,Yes
CUST114,Female,0,Yes,No,11,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,One year,No,Electronic check,82.58,2623.44,No
CUST115,Male,1,No,Yes,58,No,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,105.81,1169.75,Yes
CUST116,Female,0,No,No,26,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,76.23,4844.99,No
CUST117,Female,0,No,No,43,No,No,No,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Mailed check,119.39,412.67,Yes
CUST118,Female,0,Yes,No,59,No,Yes,No,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),78.66,4510.77,No
CUST119,Female,0,Yes,Yes,6,No,No phone service,No,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,47.73,7104.46,No
CUST120,Male,1,Yes,Yes,20,No,No phone service,No,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),56.74,728.87,No
CUST121,Male,0,No,Yes,71,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),70.24,4479.12,No
CUST122,Male,1,Yes,No,34,No,No phone service,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),82.84,4506.47,No
CUST123,Male,1,No,Yes,14,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),25.58,2500.2,Yes
CUST124,Female,0,Yes,No,60,No,No phone service,No,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.43,3784.63,Yes
CUST125,Male,0,No,Yes,58,No,No,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,117.67,3198.36,No
CUST126,Female,1,Yes,No,44,Yes,No,No,No internet service,No,No,No,No internet service,Yes,One year,No,Credit card (automatic),42.01,3336.66,Yes
CUST127,Female,0,No,Yes,28,Yes,No phone service,No,Yes,No internet service,No,Yes,No,No,One year,Yes,Credit card (automatic),26.77,4105.12,No
CUST128,Female,0,No,No,25,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,61.05,1815.49,Yes
CUST129,Female,0,No,No,26,No,No,No,No internet service,No internet service,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),112.59,6495.7,No
CUST130,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),79.58,4155.44,No
CUST131,Female,0,No,No,32,Yes,No,No,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,69.35,7073.44,No
CUST132,Female,0,No,Yes,37,No,No,No,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,47.77,4330.16,No
CUST133,Female,1,Yes,Yes,43,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,115.96,7040.87,No
CUST134,Female,1,Yes,Yes,21,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.58,6295.68,Yes
CUST135,Female,0,No,No,31,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),79.69,1057.5,No
CUST136,Female,0,No,Yes,40,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),36.59,3226.39,Yes
CUST137,Male,0,No,No,47,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,92.44,4855.98,Yes
CUST138,Male,0,Yes,Yes,1,No,Yes,DSL,No,No,No internet service,No,No internet service,No,Two year,No,Mailed check,89.13,975.04,Yes
CUST139,Female,0,Yes,No,20,No,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),22.72,1111.03,Yes
CUST140,Female,1,Yes,No,60,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),91.22,3209.47,No
CUST141,Female,1,Yes,Yes,67,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.8,1092.31,Yes
CUST142,Female,0,No,Yes,70,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No,Two year,No,Mailed check,116.93,5343.82,No
CUST143,Male,1,No,Yes,32,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),112.35,4103.89,No
CUST144,Female,0,Yes,Yes,30,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),23.16,3611.91,No
CUST145,Male,0,No,Yes,47,No,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),69.39,7638.06,No
CUST146,Male,1,Yes,No,41,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No internet service,One year,Yes,Mailed check,95.51,4143.83,Yes
CUST147,Male,1,No,No,59,Yes,No phone service,No,No internet service,No,No,Yes,No,No internet service,One year,No,Electronic check,77.4,1123.45,Yes
CUST148,Male,1,Yes,Yes,30,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),107.39,7961.22,Yes
CUST149,Male,1,Yes,No,8,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),55.51,3759.55,Yes
CUST150,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),72.14,7760.0,No
CUST151,Female,1,Yes,Yes,14,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,40.11,6239.93,Yes
CUST152,Male,1,No,Yes,1,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,80.48,2380.99,Yes
CUST153,Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,One year,No,Electronic check,41.53,6272.52,Yes
CUST154,Male,1,Yes,Yes,35,No,No,DSL,Yes,No,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),60.27,7487.88,No
CUST155,Female,0,No,No,55,Yes,No,No,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),55.44,6971.13,Yes
CUST156,Female,0,Yes,No,65,No,No phone service,No,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.97,2716.11,No
CUST157,Male,1,No,Yes,26,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,105.03,2726.85,Yes
CUST158,Male,1,Yes,Yes,40,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,70.96,5717.87,Yes
CUST159,Female,1,Yes,No,68,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,One year,No,Mailed check,96.96,7219.31,No
CUST160,Male,1,No,Yes,28,No,No,No,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,94.96,3154.29,No
CUST161,Female,1,No,Yes,58,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,30.81,5023.14,Yes
CUST162,Male,1,Yes,No,26,No,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,81.04,5334.54,No
CUST163,Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,31.69,3437.46,Yes
CUST164,Male,0,No,Yes,51,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),27.49,5840.59,No
CUST165,Female,1,No,No,58,Yes,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,67.77,4423.31,No
CUST166,Male,0,Yes,No,10,No,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Two year,No,Mailed check,80.81,3216.67,No
CUST167,Male,1,No,No,8,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),111.38,4298.31,No
CUST168,Male,0,Yes,Yes,53,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.62,6227.75,No
CUST169,Male,1,Yes,Yes,33,No,No phone service,DSL,No,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,92.42,3628.47,Yes
CUST170,Female,0,Yes,Yes,2,No,Yes,DSL,Yes,No internet service,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),25.69,5876.51,No
CUST171,Female,0,No,Yes,60,Yes,No phone service,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),64.68,7409.06,No
CUST172,Male,1,No,No,31,No,No phone service,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,No,Electronic check,99.77,5759.61,Yes
CUST173,Female,1,Yes,Yes,3,Yes,Yes,No,No,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,26.17,7668.73,No
CUST174,Female,1,No,Yes,65,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),48.18,4461.54,Yes
